video_id,title,published_at,duration,view_count,like_count,comment_count
CaRiXfS4t6I,Une mamie pas comme les autres,2024-01-30T18:00:05Z,PT45S,1297754,83947,177
4aiZHcnANks,Comment on écrit un concept,2024-01-30T06:00:02Z,PT28S,67271,3586,6
_0221Dr5_EI,On met la chaîne en pause,2024-01-29T06:00:21Z,PT48S,433294,25835,193
ddIWl9HGBQE,Je prank mes invités sur un tournage,2024-01-28T18:00:19Z,PT56S,141515,7370,50
_YLNvWoG0dg,Il faut choisir le bon prout,2024-01-28T06:00:24Z,PT39S,191711,11028,25
mrVNnY55_FE,Mister V gifle un géant,2024-01-25T18:00:31Z,PT40S,1125677,73630,79
R_kMQcQ7Qww,J'affronte ma thalassophobie,2024-01-23T18:00:34Z,PT59S,419731,23681,108
HGu1t7cvP38,"La dernière avant un moment, merci ❤️",2024-01-22T19:21:54Z,PT1H3M37S,5472890,281151,10708
DIbq-Sjs7rw,Hakim se fait avoir par un mentaliste,2024-01-21T18:00:10Z,PT59S,1834175,82624,157
-mzb9UaEx40,Le flop de Maxence,2024-01-18T18:00:00Z,PT43S,727631,40203,33
w0RrkckgpNY,Billy ne doit pas exploser le pétard,2024-01-16T18:00:27Z,PT56S,897213,48543,58
GRTRoMkFyG4,Joyca fait de la lutte,2024-01-14T18:00:09Z,PT36S,543379,36712,49
XgajF3vwJ94,Mon entrée est légendaire,2024-01-11T18:00:24Z,PT23S,148299,13163,43
7_60w7T1Oak,QUI EST LE MEURTRIER ? #2 (Murder IRL),2024-01-10T17:06:30Z,PT52M58S,10558887,497299,7665
wDQxJgJ8Nmg,Qui a mis la pièce dans le cadis ?,2024-01-09T18:00:34Z,PT54S,403151,27963,17
S-OShPTdfds,J'ai tellement honte...,2024-01-07T18:00:11Z,PT34S,231536,20646,27
k_OdGeu2KFs,Je me fais intimider,2024-01-05T18:00:22Z,PT48S,782874,40189,77
tn3il6_4Lf4,Théodort tombe amoureux d'une comédienne,2024-01-04T18:00:22Z,PT55S,1170070,68934,67
J16A3RwJvvw,Je suis fan des Jones,2024-01-03T18:00:10Z,PT56S,154029,11537,19
O_15VtBah5o,J'ai pris une bonne décision !,2024-01-02T18:00:14Z,PT15S,855881,29953,77
D_yfZ4cJci8,"Mister V, le catcheur Squeezos",2023-12-30T18:00:07Z,PT59S,1120483,63333,58
U-8qZ5e_pg0,Les foufous de Sochaux,2023-12-28T18:00:13Z,PT1M,1499437,123531,146
6QYw9bDQHRc,Maxime a leak toutes mes infos,2023-12-26T18:00:02Z,PT1M,3807248,244514,293
6IEI0-P7Ccg,Seb se fait enterrer vivant,2023-12-25T18:00:05Z,PT56S,92795,5786,22
diQy-K12utA,"LE PIRE DATE #2 (ft Seb, Joyca & Maghla)",2023-12-22T19:00:42Z,PT52M45S,16396596,583422,8711
UphhQH5QWVc,Freddy réveille le bébé,2023-12-22T18:00:14Z,PT55S,126741,7600,16
oqeMTmLvQqo,Bigflo se trouve moche ?,2023-12-21T18:00:31Z,PT40S,521433,38389,51
F0NVyzkB1Nc,Bienvenue au PP Explorer,2023-12-19T18:00:08Z,PT1M,352835,22680,32
xLUzCCqEHFY,Connaissez-vous Seb le 3afrit ?,2023-12-18T18:00:34Z,PT51S,2286543,158947,203
BXcGRYTcwoI,La série documentaire arrive le 19 Janvier sur Prime Video,2023-12-17T12:07:03Z,PT31S,830474,80846,299
WYXq0HBf_D4,Les célébrités de Wish,2023-12-15T18:00:15Z,PT52S,3511618,184597,133
nWfFICJeWxc,Ils ont mis toutes mes affaires aux enchères,2023-12-14T18:00:32Z,PT55S,435593,27836,40
wG7DzwGG4PU,J'ai mis la mère de Billy dans un canon,2023-12-12T18:00:33Z,PT59S,89361,7831,22
9DdmxE77i5k,On a eu mal pour lui,2023-12-10T18:00:07Z,PT58S,678004,45599,149
6wbwd_-dIOQ,Maxime s'est fait draguer par la meuf de son pote,2023-12-10T11:00:05Z,PT48S,1851828,91512,137
97Dz5KAtd88,Maxime s'endort pendant mon anecdote,2023-12-09T18:00:04Z,PT47S,496263,23161,27
YiVGa-svZco,48h pour assembler et faire décoller un Lego Concorde (ft Djilsi & Maxime Biaggi),2023-12-08T17:32:35Z,PT1H19M49S,8791391,367774,4533
L6FuFcnYndo,Le complice de Squeezie casse Naza en deux,2023-12-07T18:00:10Z,PT51S,4428352,261971,282
SnPfHzF_8jk,L'ultime trahison d'Eric et Ramzy,2023-12-05T18:00:12Z,PT39S,1513890,103456,116
3LGQBpokbA0,Méfiez-vous de Krono...,2023-12-03T18:00:04Z,PT48S,104339,7399,19
mJfWgoLQKaI,Léna ne reconnaît plus ses amis...,2023-11-30T18:00:32Z,PT33S,640236,45552,59
94OHuf4hRa4,C'est un MENTEUR !,2023-11-28T18:00:04Z,PT26S,2765319,134957,274
yHTJ-4jCF9M,Il faut bannir ces traditions de Noël...,2023-11-26T13:07:41Z,PT20M40S,6627138,386776,5283
36CIKvp8e5M,Djilsi a vraiment eu chaud,2023-11-25T18:00:01Z,PT30S,715717,64070,142
wsaKJVs0OzY,La tentative d'hypnose ratée sur Jonathan Cohen,2023-11-23T18:00:35Z,PT51S,114056,7738,15
r_OQMhwLZX0,Qui est le vrai Maître Kébabier ?,2023-11-21T18:00:23Z,PT1M,11542221,429125,503
